,facltNm,allar,insrncAt,trsagntNo,bizrno,facltDivNm,mangeDivNm,mgcDiv,manageSttus,hvofBgnde,hvofEnddle,featureNm,induty,lctCl,doNm,sigunguNm,zipcode,addr1,addr2,mapX,mapY,direction,tel,homepage,resveUrl,resveCl,manageNmpr,gnrlSiteCo,autoSiteCo,glampSiteCo,caravSiteCo,indvdlCaravSiteCo,sitedStnc,siteMg1Width,siteMg2Width,siteMg3Width,siteMg1Vrticl,siteMg2Vrticl,siteMg3Vrticl,siteMg1Co,siteMg2Co,siteMg3Co,siteBottomCl1,siteBottomCl2,siteBottomCl3,siteBottomCl4,siteBottomCl5,tooltip,glampInnerFclty,caravInnerFclty,prmisnDe,operPdCl,operDeCl,trlerAcmpnyAt,caravAcmpnyAt,toiletCo,swrmCo,wtrplCo,brazierCl,sbrsCl,sbrsEtc,posblFcltyCl,posblFcltyEtc,clturEventAt,clturEvent,exprnProgrmAt,exprnProgrm,extshrCo,frprvtWrppCo,frprvtSandCo,fireSensorCo,themaEnvrnCl,eqpmnLendCl,animalCmgCl,tourEraCl,firstImageUrl,createdtime,modifiedtime
615,비학산자연휴양림 ,76288,Y,,506-83-00025,자연휴양림,직영,,운영,,,숙박시설,"일반야영장,카라반","산,숲",경상북도,포항시,791832,경상북도 포항시 북구 기북면 탑정리 ,산34 ,129.2108045,36.1474462,,054-252-3275,http://forest.ipohang.org/,http://forest.ipohang.org/member/login.html?move_url=%2Forder%2Forder.html,온라인실시간예약,5,6,0,0,5,0,3,4,0,0,4,0,0,6,0,0,0,0,0,0,0,,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구,취사도구,내부화장실",2015-06-26,"봄,여름,가을,겨울",평일+주말,N,N,4,4,2,공동취사장,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,운동장,마트.편의점",숙박시설,"산책로,수상레저,낚시,해수욕",,N,,N,,20,0,0,5,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",,불가능,,https://gocamping.or.kr/upload/camp/1449/thumb/thumb_720_1648YfMoVZVqRz3wWKyOLmQO.jpg,2022-08-01 23:17,2022-08-01 23:17
616,뿌리공원캠핑장 ,800,Y,,305-83-04428,지자체,직영,,운영,,,뿌리공원 안에 위치해 즐길거리가 다양함.,자동차야영장,"산,숲,계곡",대전시,중구,301213,대전광역시 중구 안영동 ,Feb-71,127.384438,36.285408,,042-288-8300,http://hyo.djjunggu.go.kr/html/hyo/bburi/bburi_03050401.html,,,1,29,0,0,0,0,3,2,0,0,3,0,0,29,0,0,0,0,29,0,0,,,,2015-07-06,"봄,여름,가을,겨울",평일+주말,N,N,1,1,1,불가,"전기,온수,놀이터,운동시설",,"계곡 물놀이,산책로,농어촌체험시설",,Y,대전 효문화 뿌리축제,N,,0,0,1,0,"봄꽃여행,가을단풍명소,걷기길","텐트,식기",불가능,,https://gocamping.or.kr/upload/camp/1451/thumb/thumb_720_5538vw7XN9qV0bBHWsZ35O8v.jpg,2022-08-01 23:17,2022-08-01 23:17
617,사계절오토캠핑장,26446,N,,135-21-21096,민간,직영,,운영,,,"130면의 사이트가 있으며, 일부 사이트는 계곡 옆이다",일반야영장,"산,숲,계곡",충청남도,공주시,314894,충청남도 공주시 유구읍 무드리길 64 ,사계절오토캠핑장 ,126.9670665,36.6390866,,041-841-3315,http://cafe.daum.net/baekche,http://www.campingsearch.co.kr/campReserve/reserveTableStatus.asp?idx=378,,2,0,130,0,0,0,3,6,8,0,7,9,0,0,0,0,0,130,0,0,0,,,,2013-12-18,"봄,여름,가을,겨울",평일+주말,Y,N,3,2,2,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트.편의점",,"계곡 물놀이,산책로,낚시",,N,,N,,20,0,10,0,여름물놀이,,불가능,,https://gocamping.or.kr/upload/camp/1452/thumb/thumb_720_3707ylUOvAWGj9gnmiOCW2x6.jpg,2022-08-01 23:17,2022-08-01 23:17
618,사과랑 관광농원,7000,Y,,309-20-22592,민간,직영,,운영,,,,일반야영장,,충청남도,당진시,31759,충남 당진시 순성면 가화로 136,,126.7434068,36.8314115,,010-9007-1372,,,온라인실시간예약,1,20,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,7,13,0,0,,,,2017-09-27,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,1,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,마트.편의점",,"산책로,농어촌체험시설",,N,,Y,사과따기 사과음식체험,13,0,0,4,걷기길,"텐트,릴선,화로대,난방기구",가능,"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/1453/thumb/thumb_720_5158zXUykBzpWVmHOgv3EMBv.jpg,2022-08-01 23:17,2022-08-01 23:17
619,사과향기캠핑장,0,Y,,,민간,직영,,운영,,,,일반야영장,"산,숲,계곡",경상남도,밀양시,627832,경상남도 밀양시 산내면 얼음골옛길 347-12 ,얼음골 사과향기 캠핑장 ,128.9805981,35.5789627,,055-356-0000,http://cafe.naver.com/iceapple1,http://cafe.naver.com/iceapple1,,2,23,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,23,0,0,0,,,,2015-05-13,"봄,여름,가을,겨울",평일+주말,N,N,1,1,1,개별,"전기,무선인터넷,온수,트렘폴린,운동시설,마트.편의점",,"계곡 물놀이,산책로,농어촌체험시설",,N,,Y,"계절별 밤 줍기, 물고기잡기체험 등",20,0,0,0,"봄꽃여행,여름물놀이,걷기길",,불가능,,https://gocamping.or.kr/upload/camp/1454/thumb/thumb_720_4159Bf0Ef5hKF3KAVqswLylY.jpg,2022-08-01 23:17,2022-08-01 23:17
620,사나래관광농원,6000,N,,132-23-68572,민간,직영,,운영,,,중원계곡초입,글램핑,계곡,경기도,양평군,476843,경기도 양평군 용문면 중원리 580,,127.6193935,37.5462949,,010-8919-0744,http://sanaraecamping.com/,http://sanaraecamping.com/,온라인실시간예약,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"침대,에어컨,냉장고,유무선인터넷,난방기구",,2017-03-09,"봄,여름,가을",평일+주말,N,N,1,1,2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",카즈카페,계곡 물놀이,,N,,Y,블루베리따기및시식채험,10,0,0,10,"여름물놀이,가을단풍명소",,불가능,,https://gocamping.or.kr/upload/camp/1455/thumb/thumb_720_5096X9euC4zHg9L3CvHuuGdO.jpg,2022-08-01 23:17,2022-08-01 23:17
621,사나래글램핑장,0,Y,,,민간,직영,,운영,,,,자동차야영장,,경기도,연천군,11042,경기도 연천군 왕징면 군왕로 181,,127.0010282,38.0906819,,031-833-1107,http://www.사나래글램핑파크.com/,http://www.사나래글램핑파크.com/reservation.php,온라인실시간예약,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2017-04-10,,,N,N,0,0,0,,"물놀이장,놀이터,산책로,운동시설",,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/1456/thumb/thumb_720_8254dVYpFbt4Dl6zT71eEP5C.jpg,2022-08-01 23:17,2022-08-01 23:17
622,사나래카라반캠핑장,2942,Y,,749-38-00127,민간,직영,,운영,,,,"일반야영장,카라반",해변,경상북도,포항시,790931,경상북도 포항시 남구 장기면 동해안로 2932 ,사나래카라반캠핑장 ,129.5244986,35.8577294,,,http://www.sanarae.co.kr/,http://www.sanarae.co.kr/,,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구,취사도구,내부화장실",2015-04-10,"봄,여름,가을",평일+주말,N,N,2,2,0,개별,"무선인터넷,트렘폴린,물놀이장",펜션운영,"수상레저,해수욕",,N,,N,,10,0,0,10,"일출명소,수상레저,낚시,여름물놀이,걷기길",화로대,불가능,,https://gocamping.or.kr/upload/camp/1457/thumb/thumb_720_6508RfLxRudkG9bs8D1hFlwr.jpg,2022-08-01 23:17,2022-08-01 23:17
623,사랑나무 캠핑장,6600,N,,646-29-00485,민간,직영,,운영,,,"봉화춘양과경계,소나무숲,연리근나무",자동차야영장,"산,숲",강원도,영월군,230824,강원도 영월군 김삿갓면 내리계곡로 131-12 ,사랑나무 캠핑장 ,128.7448039,37.0725771,,,http://cafe.naver.com/lovetreecamp,,온라인실시간예약,2,53,0,0,0,0,0,5,0,0,8,0,0,53,0,0,0,53,0,0,0,,,,2015-04-22,"봄,여름,가을",평일+주말,N,N,2,2,2,개별,"전기,무선인터넷,장작판매,온수,운동시설",,계곡 물놀이,,N,,N,,20,0,0,0,여름물놀이,,불가능,,https://gocamping.or.kr/upload/camp/1460/thumb/thumb_720_1047djlaRn8UG5oqqEDK9e7T.jpg,2022-08-01 23:17,2022-08-01 23:17
624,사선대캠핑장,0,Y,,,민간,직영,,운영,,,,일반야영장,,전라북도,임실군,566812,전라북도 임실군 관촌면 관촌리 ,1010-17 ,127.266972,35.6681237,,,http://www.iscd.kr,,전화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2015-07-08,,평일+주말,N,N,0,0,0,개별,"전기,온수,물놀이장,운동시설",,,,N,,N,,0,0,0,0,,,불가능,,,2022-08-01 23:17,2022-08-03 6:30
625,사지목 나무그늘 ,0,N,Jul-15,374- 7-00043,민간,직영,,운영,,,,일반야영장,"산,숲,계곡",경상남도,양산시,50585,경남 양산시 원동면 늘밭로 201,,128.9467516,35.3947454,,010-7670-5959,,,현장,1,8,0,0,0,0,0,5,0,0,6,0,0,8,0,0,0,0,0,0,8,,,,2015-08-10,"봄,여름,가을",평일+주말,N,N,1,0,1,개별,놀이터,,"계곡 물놀이,산책로",,N,,N,,9,0,0,0,여름물놀이,,불가능,,https://gocamping.or.kr/upload/camp/1467/thumb/thumb_720_4524y9WHW5ZbQJPdXxJebROE.jpg,2022-08-01 23:17,2022-08-01 23:17
626,사촌해수욕장야영장 ,13000,N,,,민간,직영,사촌마을회,운영,,,,일반야영장,"해변,산",경상남도,남해군,668863,경상남도 남해군 남면 임포리 ,1173-1 ,127.8563405,34.7435549,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2015-08-10,"봄,여름,가을",평일+주말,N,N,2,2,2,개별,"놀이터,운동시설,마트.편의점",,"산책로,수상레저,낚시,해수욕,농어촌체험시설",,N,,Y,"카약, 패들보트, 선상낚시",4,0,4,0,"일몰명소,수상레저,낚시,액티비티,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능,,https://gocamping.or.kr/upload/camp/1468/thumb/thumb_720_9529efHHu0zIGUdWlYxFUqPk.jpg,2022-08-01 23:17,2022-08-03 6:30
627,산과별 관광농원,6611,Y,,892-56-00217,민간,직영,,운영,,,,일반야영장,산,충청남도,공주시,352520,공주시 사곡면 부곡리 274-3,,127.0183811,36.5935184,,041-841-8201,,,전화,1,26,0,0,0,0,1,9,0,0,9,0,0,26,0,0,0,26,0,0,0,,,,2017-06-26,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,6,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",,"산책로,농어촌체험시설",,N,,N,,10,2,0,0,"가을단풍명소,걷기길",,가능(소형견),,https://gocamping.or.kr/upload/camp/1471/thumb/thumb_720_1738psqJBZfvdlZYzEGWytYn.jpg,2022-08-01 23:17,2022-08-01 23:17
628,산꽃벚꽃마을 오토캠핑장,23402,Y,,226-88-00672,지자체,위탁,자진뱅이 산벚꽃 영농조합,운영,,,미니열차,일반야영장,숲,충청남도,금산군,32717,충청남도 금산군 군북면 산안리 302,,127.5663217,36.1953438,,041-751-3322,http://산꽃벚꽃오토캠핑장.com/,https://xn--js0ba853hr3dspi9lcn7sszfbsj.com/app/room/index?md_id=room001,온라인실시간예약,0,35,0,0,0,0,3,7,0,0,5,0,0,35,0,0,0,0,35,0,0,,,,2017-05-15,"봄,여름,가을,겨울",평일+주말,Y,N,4,2,4,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점",미니열차,"계곡 물놀이,산책로,낚시,어린이놀이시설",,N,,Y,계절별 체험교실,30,0,0,0,"여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",릴선,가능,,https://gocamping.or.kr/upload/camp/1473/thumb/thumb_720_8725LFnasbgeSIEVcAa1gL7l.jpg,2022-08-01 23:17,2022-08-01 23:17
629,산내들 관광농원,0,Y,,,민간,직영,,운영,,,,일반야영장,,경상북도,울진군,767883,경상북도 울진군 금강송면 소광리 429-1,,129.1991053,36.9950346,,010-3522-4868,,,현장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2017-07-21,,,N,N,0,0,0,,,,,,N,,N,,0,0,0,0,,,불가능,,,2022-08-01 23:17,2022-08-01 23:17
630,산내들 패밀리 어드벤처파크,48840,Y,,399-86-00409,민간,직영,,운영,,,워터파크,"일반야영장,글램핑",숲,경상북도,김천시,39690,김천시 지례면 부항로 109-38,,128.0156817,35.9771001,,054-436-9555,https://sndpark.modoo.at/,https://booking.naver.com/booking/3/bizes/92341,,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",,2017-06-30,"봄,여름,가을,겨울",평일+주말,N,N,4,4,4,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,"계곡 물놀이,낚시,어린이놀이시설",,N,,Y,전동바이크 등,30,0,4,30,여름물놀이,,가능(소형견),,https://gocamping.or.kr/upload/camp/1476/thumb/thumb_720_9820Zvi17VdXdDoDlyDjFLPZ.jpg,2022-08-01 23:17,2022-08-01 23:17
631,산내들민박&오토캠핑장,0,Y,,431-49-00479,민간,직영,,운영,,,,일반야영장,"산,숲,계곡,강",충청북도,제천시,27117,충청북도 제천시 국사봉로 260-0 ,산내들 오토캠핑장 ,128.1120619,37.114044,,043-647-4889,http://cafe.naver.com/sancam,http://cafe.naver.com/sancam,,1,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,,,,2015-08-04,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,1,개별,"전기,무선인터넷,장작판매,온수",,계곡 물놀이,,N,,N,,0,0,0,0,"여름물놀이,가을단풍명소,걷기길",,가능(소형견),,https://gocamping.or.kr/upload/camp/1477/thumb/thumb_720_9845HX49VdKjioc0iQh8qXJ9.jpg,2022-08-01 23:17,2022-08-01 23:17
632,산내별빛오토캠핑장 ,1700,N,,395-02-00047,민간,직영,,운영,,,,일반야영장,"산,계곡",경상북도,경주시,780882,경상북도 경주시 산내면 대현리 ,산394 ,129.058118,35.6640559,,010-7237-1976,http://www.starlightcamp.kr/,http://m.booking.naver.com/#/3/booking/svc/3249,온라인실시간예약,2,12,0,0,0,0,0,7,6,8,8,7,10,5,2,5,0,12,0,0,0,,,,2015-07-06,"봄,여름,가을,겨울",평일+주말,Y,N,1,1,1,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",,산책로,,N,,N,,20,0,0,0,"가을단풍명소,걷기길","텐트,릴선,화로대,난방기구,식기,침낭",가능,,https://gocamping.or.kr/upload/camp/1479/thumb/thumb_720_0494v8YJezGZ6T9AJSJUUP1u.jpg,2022-08-01 23:17,2022-08-01 23:17
633,산내편안관광농원,1700,N,,149-47-00106,민간,직영,,운영,,,"모텔, 방갈로",일반야영장,숲,경상북도,경주시,780881,경상북도 경주시 산내면 외칠리 ,03월 12일,129.0410068,35.7578172,,054-751-8090,http://cafe.naver.com/vusdkszoavld,https://cafe.naver.com/ArticleList.nhn?search.clubid=27411775&search.menuid=50&search.boardtype=L,온라인실시간예약,2,12,0,0,0,0,3,7,0,0,8,0,0,12,0,0,0,0,0,12,0,,,,2016-07-13,"봄,여름,가을,겨울",평일+주말,N,N,2,2,2,개별,"전기,온수,트렘폴린","모텔, 방갈로","산책로,낚시,해수욕",,N,,N,,10,1,0,0,"봄꽃여행,가을단풍명소",,가능,,https://gocamping.or.kr/upload/camp/1480/thumb/thumb_720_5921GRPZJg8vU5xWOgwOqxRH.jpg,2022-08-01 23:17,2022-08-01 23:17
634,산노리 캠핑장,12000,Y,,396-12-00791,민간,직영,,운영,,,감악산등산로,자동차야영장,"산,계곡",강원도,원주시,220864,강원도 원주시 신림면 황둔리 1000,,128.1653255,37.2443009,,010-2995-3272,http://cafe.naver.com/hdcps,http://cafe.naver.com/hdcps,온라인실시간예약,2,56,0,0,0,0,0,7,0,0,8,0,0,56,0,0,0,46,10,0,0,,,,2016-08-02,"봄,여름,가을",주말,Y,N,1,1,2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설","클라이닝,농구장,족구장,어린이책방",계곡 물놀이,,N,,Y,클라이밍,30,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/1482/thumb/thumb_720_5559jCEqaU2Lrg71DIU6IrZT.jpg,2022-08-01 23:17,2022-08-01 23:17
635,산들래 야영장,99000,Y,,238-06-00233,민간,직영,,운영,,,"태행산자락,등산로,승마장,체험학교-마처타고동네투어-무료,레일썰매,계절별수확체험,승마체험",일반야영장,"산,숲",경기도,화성시,445843,경기도 화성시 비봉면 자청로207번길 21-73 ,산들래 야영장 ,126.8945754,37.2109376,,031-356-0768,http://www.3560768.com/,,,0,60,0,0,0,0,0,6,6,0,6,8,0,30,30,0,0,30,30,0,0,,,,2016-04-07,"봄,여름,가을,겨울",평일+주말,N,N,1,1,1,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","잔디구정,농구대,풋설장",,,N,"연극,풍물놀이 공연 등",Y,체험학습,50,0,0,0,"여름물놀이,가을단풍명소",,불가능,,https://gocamping.or.kr/upload/camp/1483/thumb/thumb_720_0865tZV1H5MotwgtetuPAsMH.jpg,2022-08-01 23:17,2022-08-01 23:17
636,산디마을 생태공원 캠핑장 ,5000,Y,,306-86-11110,자연휴양림,위탁,장동영농조합법인,운영,,,,자동차야영장,"산,숲,계곡",대전시,대덕구,306110,대전광역시 대덕구 장동 685-1 ,,127.4385337,36.3969703,,070-4158-3360,http://www.idwww.co.kr/s2_1.htm,http://r6.camperstory.com/?2177,,2,17,0,0,0,0,3,5,11,0,6,6,0,16,1,0,17,0,0,0,0,,,,2015-05-18,"봄,여름,가을,겨울",평일+주말,Y,N,2,1,2,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",정자,"계곡 물놀이,수영장,청소년체험시설",,N,,Y,농촌체험(고구마 캐기 등),21,0,2,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대",가능(소형견),,https://gocamping.or.kr/upload/camp/1487/thumb/thumb_720_3611PaCpPZCy7hO0NP152dLv.jpg,2022-08-01 23:17,2022-08-01 23:17
637,산마루캠핑장 ,28000,N,2016000014,127-44-34982,민간,직영,,운영,,,,"일반야영장,글램핑","산,숲,계곡",경기도,포천시,487862,경기도 포천시 이동면 금강로 6584-20 ,산마루캠핑장 ,127.3996608,38.111963,,010-5248-7059,http://cafe.daum.net/sanmarucamping,http://www.campingsearch.co.kr/campReserve/reserveTableStatus.asp?idx=70,,2,0,45,21,0,0,0,6,10,0,9,12,0,7,6,0,0,32,13,0,0,,"침대,TV,에어컨,냉장고,유무선인터넷,난방기구",,2016-03-28,"봄,여름,가을,겨울",주말,Y,N,2,2,4,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트.편의점",,"계곡 물놀이,산책로,농어촌체험시설",,N,,N,,40,0,0,28,,,불가능,,https://gocamping.or.kr/upload/camp/1488/thumb/thumb_720_7697OB0IQQQjVbNNqOdlxtL2.jpg,2022-08-01 23:17,2022-08-01 23:17
638,산방환담 ,0,Y,,,지자체,직영,,운영,,,,자동차야영장,,강원도,화천군,209831,강원도 화천군 사내면 광덕리 ,200-5 ,127.4911397,38.0565891,,010-5210-2087,http://www.sanbangrim.com/,,전화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2016-07-21,,,N,N,0,0,0,,"전기,온수",,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/1490/thumb/thumb_720_8652XpbluBORfVeeSVf3Cldg.jpg,2022-08-01 23:17,2022-08-01 23:17
639,산사랑 글램핑,3800,Y,,582-10-00651,민간,직영,,운영,,,구룡사입구,글램핑,계곡,강원도,원주시,220831,강원도 원주시 소초면 학곡리 ,150-3 ,128.0572467,37.4268876,,,www.치악산산사랑.com,,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"침대,에어컨,냉장고,유무선인터넷,난방기구,취사도구,내부화장실",,2014-10-29,"봄,여름,가을,겨울",평일+주말,N,N,0,0,0,,"전기,온수,놀이터,운동시설","카페,펜션","계곡 물놀이,산책로",,N,,N,,5,0,0,5,가을단풍명소,,불가능,,https://gocamping.or.kr/upload/camp/1491/thumb/thumb_720_141585RDf1KJJfZiIkpvjzHZ.jpg,2022-08-01 23:17,2022-08-01 23:17
640,산새소리캠핑장,8200,N,,585-08-00773,민간,직영,,운영,,,방문객 절대불가,일반야영장,"산,숲",충청북도,괴산군,28058,충북 괴산군 청천면 도경로여사왕 2길 4-67,,127.7587293,36.7406022,,010-4726-2961,http://cafe.naver.com/sansaesoristory,,"전화,온라인실시간예약",2,23,0,0,0,0,0,10,9,0,11,10,0,10,13,0,4,19,0,0,0,,,,2017-10-24,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,2,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설",,"산책로,낚시,수영장,청소년체험시설,농어촌체험시설,어린이놀이시설",,Y,,Y,월별 체험프로그램,12,0,0,4,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소","텐트,릴선,화로대,난방기구,식기",가능(소형견),"봄,여름,가을,겨울",https://gocamping.or.kr/upload/camp/1492/thumb/thumb_720_4631Iej9FNP0bpsdC2UhHiSb.jpg,2022-08-01 23:17,2022-08-01 23:17
641,산솔 캠핑장,14000,N,,,민간,직영,,운영,,,,자동차야영장,,강원도,영월군,26243,강원 영월군 중동면 태백산로 1616,,128.7078923,37.1468855,,,http://sansolauto.modoo.at/,http://www.ddnayo.com/RsvSys/CampSite.aspx?id_hotel=1577,온라인실시간예약,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2015-07-13,,,N,N,0,0,0,,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,,,N,,N,,0,0,0,0,,,불가능,,https://gocamping.or.kr/upload/camp/1493/thumb/thumb_720_18643MM8nekAjBDBsCujSl4B.jpg,2022-08-01 23:17,2022-08-01 23:17
642,산아래 캠핑장 ,10000,N,,709-33-00288,민간,직영,,운영,,,,일반야영장,"산,계곡",경상북도,영주시,750822,경상북도 영주시 부석면 영부로890번길 132 ,,128.6762554,37.035477,,010-8408-7880,https://blog.naver.com/o72094,,전화,2,5,0,0,0,0,0,7,0,0,7,0,0,5,0,0,0,5,0,0,0,,,,2016-06-09,"봄,여름,가을",평일+주말,Y,N,2,2,2,개별,"전기,장작판매,온수,물놀이장,놀이터",,"계곡 물놀이,산책로",,N,,N,,10,0,0,0,"여름물놀이,가을단풍명소",,불가능,,https://gocamping.or.kr/upload/camp/1498/thumb/thumb_720_89190f88J9jgz2DqRuPWfgqW.jpg,2022-08-01 23:17,2022-08-01 23:17
643,산아래캠핑장 ,8925,N,2016-000034,231-01-56686,민간,직영,,운영,,,,일반야영장,"산,숲,계곡",경기도,포천시,11100,경기 포천시 관인면 담터길 275,,127.1056858,37.9712916,,033-455-4422,http://cafe.naver.com/sanaraecamp,http://r6.camperstory.com/?1914,,1,0,32,0,0,0,0,8,0,0,9,0,0,32,0,0,0,32,0,0,0,,,,2016-10-31,"봄,여름,가을,겨울",평일+주말,Y,N,2,2,1,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설",,"계곡 물놀이,산책로,낚시",,N,,N,,32,0,2,4,"낚시,여름물놀이,가을단풍명소,겨울눈꽃명소","릴선,화로대,침낭",불가능,,https://gocamping.or.kr/upload/camp/1499/thumb/thumb_720_5862JRdryzLnIuLrl8eILQf5.jpg,2022-08-01 23:17,2022-08-01 23:17
644,산애 캠핑장,17490,Y,제2017-000002호,241-46-00268,민간,직영,,운영,,,,일반야영장,산,경상남도,함양군,676831,경상남도 함양군 서하면 우전길 112-2 ,산애캠핑장 ,127.7413647,35.6413353,,010-2552-7184,http://cafe.naver.com/sanaecamp,http://cafe.naver.com/sanaecamp,,1,15,0,0,0,0,3,8,0,0,9,0,0,1,0,0,0,15,0,0,0,,,,2017-04-06,"봄,여름,가을",주말,N,N,2,2,6,개별,"전기,장작판매,온수,물놀이장,놀이터",,"계곡 물놀이,강/물놀이,어린이놀이시설",,N,,N,,10,0,0,0,"일몰명소,가을단풍명소",화로대,불가능,,https://gocamping.or.kr/upload/camp/1500/thumb/thumb_720_61888t1TzJ3uUnAKMAqG9OOW.jpg,2022-08-01 23:17,2022-08-01 23:17
645,산야초 자연캠핑장 ,10000,N,,231-01-18305,민간,직영,,운영,,,멋진 산 속의 풍경과 넓은 사이트 간격으로 인해 자연스러운 행동이 부담스럽지 않은곳.아빠와 함께 야구놀이도 가능.,일반야영장,"산,숲,계곡",경기도,동두천시,483040,경기도 동두천시 광암동 쇠목길 320 ,산야초 자연캠핑장 ,127.1018498,37.9073979,,031-868-6225,,http://www.campingsearch.co.kr/campReserve/reserveTableStatus.asp?idx=316,,4,0,120,0,0,0,4,6,0,0,9,0,0,120,0,0,0,120,0,0,0,,,,2016-05-31,"봄,여름,가을,겨울",평일+주말,Y,N,3,3,3,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터",,"산책로,강/물놀이,농어촌체험시설",,N,,Y,밤줍기 ,50,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대,난방기구",가능,,https://gocamping.or.kr/upload/camp/1501/thumb/thumb_720_99284C6zoUEIg4V4XLJVaUml.jpg,2022-08-01 23:17,2022-08-01 23:17
646,영월산여울캠핑장,4500,N,,307-10-46852,민간,직영,,운영,,,,"일반야영장,카라반",계곡,강원도,영월군,26201,강원 영월군 무릉도원면 백년계곡길 142,산여울캠핑장 ,128.271781,37.3770757,,033-375-2268,http://www.sanyaiul.com/,야놀자,,3,0,50,0,10,0,0,6,7,0,7,8,0,15,35,0,0,50,0,0,0,,,,2016-08-29,"봄,여름,가을",평일+주말,Y,N,2,2,2,개별,"전기,무선인터넷,장작판매,온수,운동시설",,계곡 물놀이,,N,,N,,25,0,0,0,,,가능(소형견),,https://gocamping.or.kr/upload/camp/1503/thumb/thumb_720_96137l6nPrRagQwA51mQmxVi.jpg,2022-08-01 23:17,2022-08-01 23:17
